totalRound:1000
                                            (7,4)1,6 | (Q,4)4,6   = PLAYER_WIN | (BET|-200,BALANCE|4800) BANKER_WIN
                                                 0,6 | (J,J)0,J   = PLAYER_WIN | (BET|-200,BALANCE|4600) BANKER_WIN
                                                 0,4 | 8,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|4800) BANKER_WIN (HIT)
                                                 3,4 | (6,7)3,10  = PLAYER_WIN | (BET|-200,WIN,BALANCE|5000) PLAYER_WIN (HIT)
                                                 0,2 | 0,8        = BANKER_WIN | (BET|-200,WIN,BALANCE|5200) BANKER_WIN (HIT)
                                                 6,0 | 8,8        = TIE        | (BET|-200,BALANCE|5000) PLAYER_WIN
                                            (4,6)0,2 | 6,0        = BANKER_WIN | (BET|-200,BALANCE|4800) PLAYER_WIN
                                            (2,3)5,K | 3,2        = TIE        | (BET|-200,BALANCE|4600) PLAYER_WIN
                                            (4,A)5,3 | 1,5        = PLAYER_WIN | (BET|-200,WIN,BALANCE|4800) PLAYER_WIN (HIT)
                                            (J,2)2,K | 1,5        = BANKER_WIN | (BET|-200,WIN,BALANCE|5000) BANKER_WIN (HIT)
                                                 0,6 | 0,6        = TIE        | (BET|-200,BALANCE|4800) PLAYER_WIN
                                            (9,A)0,5 | 3,2        = TIE        | (BET|-200,BALANCE|4600) PLAYER_WIN
                                            (8,7)5,9 | (3,7)0,K   = PLAYER_WIN | (BET|-200,WIN,BALANCE|4800) PLAYER_WIN (HIT)
                                                 0,7 | 5,4        = BANKER_WIN | (BET|-200,WIN,BALANCE|5000) BANKER_WIN (HIT)
                                                 8,9 | 7,0        = TIE        | (BET|-200,BALANCE|4800) PLAYER_WIN
                                                 0,0 | 1,8        = BANKER_WIN | (BET|-200,BALANCE|4600) PLAYER_WIN
                                          (10,10)0,5 | 9,7        = BANKER_WIN | (BET|-200,BALANCE|4400) PLAYER_WIN
                                           (2,10)2,3 | (7,6)3,3   = BANKER_WIN | (BET|-200,BALANCE|4200) PLAYER_WIN
                                            (5,5)0,A | (4,Q)4,9   = BANKER_WIN | (BET|-200,BALANCE|4000) PLAYER_WIN
                                           (2,10)2,4 | (A,J)1,2   = PLAYER_WIN | (BET|-200,WIN,BALANCE|4200) PLAYER_WIN (HIT)
